,water_period,media_vazao,Data,type,day,month,year,longitude,latitude,time_start
25,HW,201415.74048783246,2006-02-02 13:37:55.200000000,R_to_HW,2,2,2006,-55.5131,-1.9192,2006-02-02
26,F,183308.0648275862,2006-08-03 00:56:50.526315776,HW_to_F,3,8,2006,-55.5131,-1.9192,2006-08-03
27,LW,136644.78661182796,2006-08-30 05:34:44.210526208,F_to_LW,30,8,2006,-55.5131,-1.9192,2006-08-30
28,R,154536.10685476192,2006-12-23 04:12:15.766423296,LW_to_R,23,12,2006,-55.5131,-1.9192,2006-12-23
29,HW,184493.99160463712,2007-02-24 15:00:00.000000000,R_to_HW,24,2,2007,-55.5131,-1.9192,2007-02-24
30,F,164391.1825192308,2007-08-06 12:43:56.619718144,HW_to_F,6,8,2007,-55.5131,-1.9192,2007-08-06
31,LW,110485.55867642681,2007-09-04 10:56:57.511520768,F_to_LW,4,9,2007,-55.5131,-1.9192,2007-09-04
32,R,129790.93746153844,2007-12-19 16:18:27.692307712,LW_to_R,19,12,2007,-55.5131,-1.9192,2007-12-19
33,HW,186521.60465002473,2008-01-30 07:13:58.356164352,R_to_HW,30,1,2008,-55.5131,-1.9192,2008-01-30
34,F,164827.16869387752,2008-08-07 16:57:41.538461440,HW_to_F,7,8,2008,-55.5131,-1.9192,2008-08-07
35,LW,119278.7440951613,2008-09-06 19:28:35.183246080,F_to_LW,6,9,2008,-55.5131,-1.9192,2008-09-06
36,R,142250.53756666664,2008-12-11 20:52:59.220779264,LW_to_R,11,12,2008,-55.5131,-1.9192,2008-12-11
37,HW,219826.38221447775,2009-01-21 22:42:09.729729792,R_to_HW,21,1,2009,-55.5131,-1.9192,2009-01-21
38,F,202542.5635714286,2009-08-29 16:05:32.947976960,HW_to_F,29,8,2009,-55.5131,-1.9192,2009-08-29
39,LW,128126.49152834601,2009-09-19 22:51:53.513513728,F_to_LW,19,9,2009,-55.5131,-1.9192,2009-09-19
40,R,159893.37073045823,2010-01-02 12:53:33.223140352,LW_to_R,2,1,2010,-55.5131,-1.9192,2010-01-02
41,HW,205831.04747849464,2010-03-07 11:53:08.571428352,R_to_HW,7,3,2010,-55.5131,-1.9192,2010-03-07
42,F,182633.59722222225,2010-07-24 08:57:08.571428608,HW_to_F,24,7,2010,-55.5131,-1.9192,2010-07-24
43,LW,114141.14297255377,2010-08-20 02:53:25.839416064,F_to_LW,20,8,2010,-55.5131,-1.9192,2010-08-20
44,R,136688.0720909091,2011-01-17 15:57:13.526011648,LW_to_R,17,1,2011,-55.5131,-1.9192,2011-01-17
45,HW,185957.1281573925,2011-02-23 13:12:28.993288448,R_to_HW,23,2,2011,-55.5131,-1.9192,2011-02-23
46,F,190126.71041666667,2011-08-07 03:02:08.063241216,HW_to_F,7,8,2011,-55.5131,-1.9192,2011-08-07
47,LW,143118.0334922939,2011-08-31 15:10:40.316205568,F_to_LW,31,8,2011,-55.5131,-1.9192,2011-08-31
48,R,141304.2671,2011-12-26 14:05:42.857142784,LW_to_R,26,12,2011,-55.5131,-1.9192,2011-12-26
49,HW,193509.33898146707,2012-01-26 21:14:24.000000000,R_to_HW,26,1,2012,-55.5131,-1.9192,2012-01-26
50,F,170410.18369565214,2012-08-11 01:48:00.000000000,HW_to_F,11,8,2012,-55.5131,-1.9192,2012-08-11
51,LW,110683.14230716479,2012-09-05 08:49:39.310344704,F_to_LW,5,9,2012,-55.5131,-1.9192,2012-09-05
52,R,146860.17380952384,2013-01-08 21:00:58.378378496,LW_to_R,8,1,2013,-55.5131,-1.9192,2013-01-08
53,HW,203547.3328612903,2013-02-12 01:22:32.866242048,R_to_HW,12,2,2013,-55.5131,-1.9192,2013-02-12
54,F,171605.00722222222,2013-08-20 19:00:55.384615424,HW_to_F,20,8,2013,-55.5131,-1.9192,2013-08-20
55,LW,142375.47641754642,2013-09-24 21:45:00.000000000,F_to_LW,24,9,2013,-55.5131,-1.9192,2013-09-24
56,R,162794.57918701298,2013-12-05 14:13:20.000000000,LW_to_R,5,12,2013,-55.5131,-1.9192,2013-12-05
57,HW,205181.13442284643,2014-02-02 01:27:16.363636480,R_to_HW,2,2,2014,-55.5131,-1.9192,2014-02-02
58,F,181229.005483871,2014-09-02 08:00:00.000000000,HW_to_F,2,9,2014,-55.5131,-1.9192,2014-09-02
59,LW,145134.1248252688,2014-09-29 00:00:00.000000000,F_to_LW,29,9,2014,-55.5131,-1.9192,2014-09-29
60,R,156501.54111344536,2014-12-18 14:43:38.181818112,LW_to_R,18,12,2014,-55.5131,-1.9192,2014-12-18
61,HW,198010.68972222222,2015-02-10 08:00:00.000000000,R_to_HW,10,2,2015,-55.5131,-1.9192,2015-02-10
62,F,180306.45410256414,2015-09-02 11:46:35.031055872,HW_to_F,2,9,2015,-55.5131,-1.9192,2015-09-02
63,LW,114373.4641691231,2015-09-21 02:58:52.919254528,F_to_LW,21,9,2015,-55.5131,-1.9192,2015-09-21
64,R,136836.90255013076,2016-02-23 20:46:09.230769152,LW_to_R,23,2,2016,-55.5131,-1.9192,2016-02-23
65,HW,193923.1057701613,2016-04-02 08:14:19.701492480,R_to_HW,2,4,2016,-55.5131,-1.9192,2016-04-02
66,F,174051.1739153226,2016-07-20 23:41:03.157894656,HW_to_F,20,7,2016,-55.5131,-1.9192,2016-07-20
67,LW,114133.90864646743,2016-09-02 10:36:55.384615168,F_to_LW,2,9,2016,-55.5131,-1.9192,2016-09-02
68,R,152267.03416666668,2017-01-01 00:00:00.000000000,LW_to_R,1,1,2017,-55.5131,-1.9192,2017-01-01
69,HW,201998.4205119392,2017-02-01 20:31:08.702290176,R_to_HW,1,2,2017,-55.5131,-1.9192,2017-02-01
70,F,184040.40156250005,2017-08-03 19:22:52.075471872,HW_to_F,3,8,2017,-55.5131,-1.9192,2017-08-03
71,LW,112891.45755824374,2017-08-27 04:53:26.037735936,F_to_LW,27,8,2017,-55.5131,-1.9192,2017-08-27
72,R,155805.23482142857,2017-12-31 01:06:27.692307712,LW_to_R,31,12,2017,-55.5131,-1.9192,2017-12-31
73,HW,190479.61224086024,2018-02-17 19:12:00.000000000,R_to_HW,17,2,2018,-55.5131,-1.9192,2018-02-17
74,F,171801.6035483871,2018-08-15 00:42:02.627737344,HW_to_F,15,8,2018,-55.5131,-1.9192,2018-08-15
75,LW,127231.86266673935,2018-09-16 07:20:48.979591680,F_to_LW,16,9,2018,-55.5131,-1.9192,2018-09-16
76,R,144317.219,2018-12-09 19:57:12.558139648,LW_to_R,9,12,2018,-55.5131,-1.9192,2018-12-09
77,HW,203283.95672727854,2019-01-23 22:50:46.153846272,R_to_HW,23,1,2019,-55.5131,-1.9192,2019-01-23
78,F,179846.42681818182,2019-08-22 14:24:00.000000000,HW_to_F,22,8,2019,-55.5131,-1.9192,2019-08-22
79,LW,133725.76135752688,2019-09-18 03:02:41.194029824,F_to_LW,18,9,2019,-55.5131,-1.9192,2019-09-18
80,R,163262.5020079023,2019-12-07 06:44:42.352941312,LW_to_R,7,12,2019,-55.5131,-1.9192,2019-12-07
81,HW,198614.23958110274,2020-02-07 14:10:54.545454592,R_to_HW,7,2,2020,-55.5131,-1.9192,2020-02-07
82,F,166808.01380000002,2020-08-08 07:40:00.000000000,HW_to_F,8,8,2020,-55.5131,-1.9192,2020-08-08
83,LW,100246.71293625192,2020-09-04 21:40:49.070631936,F_to_LW,4,9,2020,-55.5131,-1.9192,2020-09-04
84,R,134219.7575,2020-12-23 19:40:00.000000000,LW_to_R,23,12,2020,-55.5131,-1.9192,2020-12-23
85,HW,214749.52171511773,2021-01-27 13:04:40.239520768,R_to_HW,27,1,2021,-55.5131,-1.9192,2021-01-27
86,F,197150.93499999997,2021-08-30 14:24:00.000000000,HW_to_F,30,8,2021,-55.5131,-1.9192,2021-08-30
87,LW,160882.57285714286,2021-09-26 14:52:02.123893760,F_to_LW,26,9,2021,-55.5131,-1.9192,2021-09-26
88,R,184250.2051282051,2021-11-22 07:26:53.793103616,LW_to_R,22,11,2021,-55.5131,-1.9192,2021-11-22
89,HW,228570.40154197457,2022-01-01 00:00:00.000000000,R_to_HW,1,1,2022,-55.5131,-1.9192,2022-01-01
90,F,190831.03727272723,2022-08-24 16:23:51.055900672,HW_to_F,24,8,2022,-55.5131,-1.9192,2022-08-24
91,LW,123086.80220236364,2022-09-16 15:02:53.633440512,F_to_LW,16,9,2022,-55.5131,-1.9192,2022-09-16
92,R,145236.61236842108,2023-01-09 03:04:23.414634240,LW_to_R,9,1,2023,-55.5131,-1.9192,2023-01-09
93,HW,189753.36151084624,2023-02-15 08:43:38.181818112,R_to_HW,15,2,2023,-55.5131,-1.9192,2023-02-15
94,F,180788.90305555554,2023-08-01 20:06:29.189189120,HW_to_F,1,8,2023,-55.5131,-1.9192,2023-08-01
95,LW,110447.13457354595,2023-08-25 18:37:31.737451520,F_to_LW,25,8,2023,-55.5131,-1.9192,2023-08-25
96,R,144147.74085266457,2024-01-26 18:57:28.739495680,LW_to_R,26,1,2024,-55.5131,-1.9192,2024-01-26
97,HW,169781.06838709678,2024-03-25 23:32:02.330097152,R_to_HW,25,3,2024,-55.5131,-1.9192,2024-03-25
98,F,203966.25307692305,2024-04-06 10:42:51.428571648,HW_to_F,6,4,2024,-55.5131,-1.9192,2024-04-06
99,LW,138414.85364749102,2024-05-30 21:51:25.714285824,F_to_L,30,5,2024,-55.5131,-1.9192,2024-05-30
