water_period,year,start_month,Maxima,Minima,Media
F,2015,7,225095.1,198714.64666666664,213218.13999999998
LW,2015,10,113283.41666666667,84013.26333333332,96568.20166666666
R,2016,1,135467.21333333335,110420.01666666666,122385.31800000001
HW,2016,4,195952.33666666667,184159.76,191511.08333333334
F,2016,7,180739.09,153865.68666666668,168726.96333333335
LW,2016,10,107452.83333333333,93308.11666666665,97350.29
R,2017,1,193133.41666666666,157537.38666666666,176281.79666666666
HW,2017,4,238938.84666666668,228577.71666666667,234113.66666666666
F,2017,7,196530.41666666666,155997.01666666666,176999.91666666666
LW,2017,10,107802.65333333332,94915.67333333334,101308.84000000001
R,2018,1,175566.32666666666,152921.78333333333,165068.40666666668
HW,2018,4,221297.20333333334,209619.14333333334,216048.55666666664
F,2018,7,203083.08333333334,178241.08333333334,191526.42333333334
LW,2018,10,130955.13333333335,94245.91666666667,111457.95666666667
R,2019,1,198040.41333333333,175564.02000000002,186569.32666666666
HW,2019,4,240509.15666666665,229641.81333333332,235646.69666666666
F,2019,7,215776.0166666667,184899.43000000002,202569.7233333333
LW,2019,10,135588.47333333333,107729.31333333334,117908.505
R,2020,1,186606.37333333332,168109.31333333332,177699.61000000002
HW,2020,4,228753.25666666668,216982.49,223581.94000000003
F,2020,7,202471.30000000002,164457.67,185047.3866666667
LW,2020,10,108417.21,88246.90000000001,95906.76666666666
R,2021,1,200623.56666666665,167182.44666666668,184382.64666666664
HW,2021,4,252377.36666666667,242791.04,247663.29
F,2021,7,226970.19000000003,196080.69333333333,212379.57333333333
R,2022,1,211572.38,185956.97999999998,198530.18333333335
HW,2022,4,271516.5266666667,258666.73666666666,266835.8433333333
F,2022,7,231573.24666666667,192735.21999999997,214150.52666666664
LW,2022,10,117755.37333333334,91395.18666666666,102406.548
R,2023,1,182737.57666666666,147524.15,164682.75999999998
HW,2023,4,230351.56333333332,220546.96666666667,226643.21666666667
F,2023,7,193004.14666666664,150315.09666666665,174020.01866666667
LW,2023,10,86783.28,63105.94966666666,71733.41133333334
R,2024,1,150532.34333333332,127500.92666666668,140132.01666666666
HW,2024,4,199498.36,171633.06,185468.0
LW,2024,10,61237.44,50618.246,54955.098
