"","X","mean_SPM","max_SPM","min_SPM","stdDev_SPM","month_init","year","water_period","discharge_max","discharge_min","area_km2","mean_precipitation","discharge_mean","mean_u__wind","mean_v__wind"
"11",10,191.5111040805,306.049041748047,6.04910802841187,64.1835105199002,10,2002,"LW",127152.767333333,96680.8086666667,855.446569587791,282.594070859871,111548.188333333,-1.64147345379649,0.0338664431261512
"12",11,33.6072067216781,284.380065917969,5.66352367401123,22.510869986002,4,2003,"HW",212586.63,200656.53,1329.2678746251,876.779431890445,207488.316666667,-1.52141472766352,-0.0937500718551846
"13",12,61.6183049419631,304.234252929688,8.84835433959961,33.3877613058784,7,2003,"F",198514.033333333,175022.753333333,1040.93269941419,236.766770629174,187919.586666667,-1.31607548610872,-0.202900905820289
"14",13,209.862803953436,306.049041748047,6.33344697952271,59.50966511706,10,2003,"LW",119597.06,105142.232,785.028994001975,174.992030804112,110333.3,-1.31884092834213,0.268656740899019
"15",14,24.9945810719105,282.490112304688,5.86887216567993,17.2820908811765,4,2004,"HW",207860.92,197665.973333333,1300.40363870504,695.611639359536,204072.733333333,-1.44070228693119,-0.0815393192686452
"16",15,37.8459975353242,284.049285888672,5.86887216567993,17.1386279341387,7,2004,"F",180898.533333333,158592.7,1340.87679325246,209.287318995792,170339.84,-1.56029681859149,-0.16863964072365
"17",16,193.253050156016,306.049041748047,6.66988515853882,56.4031517373528,10,2004,"LW",121083.408333333,106903.964666667,920.716824062595,178.504264414708,112652.453333333,-1.28889593257015,0.334766467395111
"18",17,66.2767149120712,306.049041748047,5.86887216567993,44.6296546054668,1,2005,"R",170517.97,143577.556666667,1202.8769060775,1170.4427724615,156845.586666667,-1.05860140961263,-0.191917812154167
"19",18,22.7880632313592,282.490112304688,5.29695701599121,17.8558764377024,4,2005,"HW",223222.123333333,212010.433333333,1450.5482690417,733.650009782251,218473.136666667,-1.7314427828165,-0.186556629643015
"20",19,34.0108185752679,294.673034667969,6.65783262252808,15.1753945652947,7,2005,"F",172645.108333333,132171.281666667,1320.85945198869,185.564344466419,153583.098333333,-1.37627142565595,-0.380416733450171
"21",20,211.574007882362,306.049041748047,10.7788057327271,46.6570746337739,10,2005,"LW",101696.194666667,79301.9,469.408752977927,409.956557473075,90882.4216666667,-1.18904274432668,0.109034826302577
"22",21,43.2206681700232,288.711456298828,6.37750387191772,21.3717177698144,1,2006,"R",192373.576666667,162708.996666667,1176.31796756618,1069.56157261509,178373.146666667,-1.33011552770473,-0.283530508295068
"23",22,27.3173818008299,282.490112304688,5.89234924316406,12.7941825422192,4,2006,"HW",241208.073333333,228585.116666667,1504.60989495939,1198.42278925738,234975.213333333,-1.2596308545877,-0.0991116840729626
"24",23,27.4418854365057,304.234252929688,5.88144683837891,15.8906450497576,7,2006,"F",198305.98,159165.601333333,1512.58305921291,162.424693628415,179350.76,-1.50238134385961,-0.306638812832537
"25",24,172.172139763638,306.049041748047,6.79439353942871,66.961189351189,10,2006,"LW",114022.398666667,91841.8133333333,780.379879510261,300.743858831704,102279.993,-1.56088123261419,-0.005555336186713
"26",25,61.8515967087066,304.234252929688,5.86887216567993,26.9879126929462,1,2007,"R",174041.59,155776.613333333,1260.45754438776,926.445091110858,165442.086666667,-1.43357404243394,-0.227864846935678
"27",26,27.8410550027998,282.490112304688,5.55667543411255,18.9211086583542,4,2007,"HW",221314.506666667,207247.003333333,1456.91037398053,821.987059762323,214941.806666667,-1.35031586355078,-0.191383976087638
"28",27,30.9212628191304,286.118835449219,5.34286594390869,16.1233295725967,7,2007,"F",197902.23,164763.87,1384.27543426038,160.559736555092,181908.686666667,-1.36751723467613,-0.375653634087775
"29",28,204.414542120065,306.049041748047,8.26250743865967,48.3590928251276,10,2007,"LW",118479.093333333,97167.7186666667,731.172004467126,359.61305932265,106080.625,-1.29362010113083,-0.177824781074704
"30",29,23.1613748879722,283.673736572266,5.34286594390869,16.4510353411922,4,2008,"HW",236698.886666667,228918.786666667,1526.43331281862,989.293053468457,233604.466666667,-1.0658561404383,-0.229083604875992
"31",30,29.2389869478764,240.189666748047,6.12320470809937,10.3267653992029,7,2008,"F",204120.366666667,167134.518333333,1465.69847786569,138.495168927746,186126.87,-1.42775376470067,-0.324658253695494
"32",31,203.106963767461,306.049041748047,10.2955360412598,56.7439628742072,10,2008,"LW",124686.033333333,105935.963333333,860.415052815737,459.246779896003,113707.081666667,-0.689753031581569,0.0913066457915238
"33",32,27.1063569978201,282.490112304688,5.34286594390869,15.7526234439121,4,2009,"HW",255990.06,247237.976666667,1517.44589091926,1051.03890484262,251405.03,-1.4770111340391,-0.0581752131831631
"34",33,23.1537102191418,217.169815063477,5.80126428604126,9.2546368830158,7,2009,"F",229574.333333333,195799.253333333,1612.67771346395,86.7442857168226,214018.62,-2.32660809255415,-0.186278813501668
"35",34,208.854835510694,306.049041748047,8.12042808532715,62.0454716597678,10,2009,"LW",120186.06,87213.5906666667,697.932359370545,181.688553845744,101393.625333333,-2.10216241842352,-0.175559597949907
"36",35,61.4231917871751,296.486358642578,6.04910802841187,33.5842655046554,1,2010,"R",167255.613333333,146566.576666667,1136.70167686751,555.457905320132,157531.7,-1.71805676099218,-0.409747262930131
"37",36,21.0877144940246,282.490112304688,5.34286594390869,14.0655994096615,4,2010,"HW",222133.633333333,204984.5,1339.36525042014,827.99311147447,214407.533333333,-1.11911067040476,-0.0890811830867716
"38",37,36.4071577363105,275.351287841797,5.4013819694519,15.9693721728493,7,2010,"F",184469.853333333,144748.22,1311.90304019679,251.113942816768,164871.453333333,-1.20282848052707,-0.592412444397625
"39",38,25.6609737426587,282.490112304688,5.5951714515686,13.5746150031915,4,2011,"HW",234810.78,220627.73,1382.59606548291,748.277829146789,228615.13,-1.35593328092349,-0.132368048046922
"40",39,27.1414919803845,282.490112304688,5.67499589920044,10.6794800590471,7,2011,"F",202735.583333333,161879.392,1428.53413017575,166.408607432501,183460.736666667,-1.83408619720173,-0.401678482296913
"41",40,25.5724148848393,282.490112304688,5.80126428604126,14.3300761980607,4,2012,"HW",250435.72,239306.593333333,1516.954620246,497.305408671153,245843.203333333,-1.60984359414352,0.0346627037799556
"42",41,25.8110294366323,230.984954833984,5.34286594390869,8.55826938856651,7,2012,"F",209583.8,170917.05,1539.00556693034,280.338911421506,190844.353333333,-1.7992322617464,-0.140222683456398
"43",42,206.159269019092,306.049041748047,6.79794597625732,51.6652180783405,10,2012,"LW",103124.016666667,83965.365,591.643055132645,311.255395802873,91553.1533333333,-1.58580051393834,0.245302153603078
"44",43,20.5482971732584,282.490112304688,5.34286594390869,11.2848283911541,4,2013,"HW",244073.843333333,231235.13,1527.55511920842,694.749879063447,238406.256666667,-1.59361567109581,-0.129635335206819
"45",44,27.4975878582889,282.490112304688,5.48719120025635,11.7074526808405,7,2013,"F",211749.64,184544.543333333,1507.48707128585,361.819115368619,198920.32,-1.2938876354335,-0.301126016434466
"46",45,96.9327391389543,299.729919433594,6.64288425445557,52.5268226526345,10,2013,"LW",138642.283333333,114714.958333333,1042.04465470816,389.526216130102,126441.51,-1.17660863379622,-0.0750258515154108
"47",46,22.6111136621979,219.997421264648,5.28752851486206,13.1711906812419,4,2014,"HW",250965.433333333,240451.696666667,1580.3009568967,772.618410834902,246520.23,-1.70248986984121,-0.250991845335124
